nome,nome,votos
KELLE CRISTIANE COSTA DAMASCENO,KELLE CRISTIANE COSTA DAMASCENO,33
CLEONICE DE MORAES BARBOSA,CLEONICE DE MORAES BARBOSA,6
MARIA ROSETE DANTAS FERREIRA,MARIA ROSETE DANTAS FERREIRA,29
PAULO VICTOR PENAFORT MENDES,PAULO VICTOR PENAFORT MENDES,572
DAMIANA AMORIM CABRAL,DAMIANA AMORIM CABRAL,652
MARCOS SERGIO ROTTA,MARCOS SERGIO ROTTA,117954
GEDEAO TIMOTEO AMORIM,GEDEAO TIMOTEO AMORIM,62999
MESSIAS WILSON DE MEDEIROS CURSINO,MESSIAS WILSON DE MEDEIROS CURSINO,16088
ANA MARIA DOS SANTOS BRITO,ANA MARIA DOS SANTOS BRITO,768
RAIMUNDO SABINO CASTELO BRANCO MAUES,RAIMUNDO SABINO CASTELO BRANCO MAUES,69708
MARIA DA CONCEIÇÃO SAMPAIO MOURA,MARIA DA CONCEIÇÃO SAMPAIO MOURA,71877
JOSE NILMAR ALVES DE OLIVEIRA,JOSE NILMAR ALVES DE OLIVEIRA,48281
NUBIA REGINA SOARES RODRIGUES,NUBIA REGINA SOARES RODRIGUES,32
HISSA NAGIB ABRAHÃO FILHO,HISSA NAGIB ABRAHÃO FILHO,113646
ERONILDO BRAGA BEZERRA,ERONILDO BRAGA BEZERRA,58766
MARCELO SOARES DE OLIVEIRA,MARCELO SOARES DE OLIVEIRA,520
JOÃO PEDRO GONÇALVES DA COSTA,JOÃO PEDRO GONÇALVES DA COSTA,46926
JOSE DOS SANTOS NASCIMENTO,JOSE DOS SANTOS NASCIMENTO,1673
MIGUEL DAVID FABIANO PERRONE,MIGUEL DAVID FABIANO PERRONE,1377
IVONE MARIA DO NASCIMENTO PERRONE,IVONE MARIA DO NASCIMENTO PERRONE,35
CRISTIANE AMARAL SALES TELLES,CRISTIANE AMARAL SALES TELLES,9775
FRANCISCO NAZARENO CORREA NEVES,FRANCISCO NAZARENO CORREA NEVES,1475
STONES DA COSTA MACHADO,STONES DA COSTA MACHADO,2426
RONYERVERSON PEREIRA SIQUEIRA,RONYERVERSON PEREIRA SIQUEIRA,3594
SEBASTIÃO SOUZA QUEIROZ,SEBASTIÃO SOUZA QUEIROZ,782
INALDO CRUZ PLACIDO,INALDO CRUZ PLACIDO,0
MARCELO FURTADO MACHADO LEITÃO,MARCELO FURTADO MACHADO LEITÃO,541
KATIA CILENE DOS SANTOS SILVA,KATIA CILENE DOS SANTOS SILVA,2033
SARAH KALILAH FERNANDES FURTADO,SARAH KALILAH FERNANDES FURTADO,2883
LUIS FELIPE SILVA DE SOUZA,LUIS FELIPE SILVA DE SOUZA,18949
MAURICIO WILKER DE AZEVEDO BARRETO,MAURICIO WILKER DE AZEVEDO BARRETO,16064
LUIZ GONZAGA OLIVEIRA DE MORAES,LUIZ GONZAGA OLIVEIRA DE MORAES,2924
GILMAR EDUARDO COSTA DO COUTO,GILMAR EDUARDO COSTA DO COUTO,2792
PAUDERNEY TOMAZ AVELINO,PAUDERNEY TOMAZ AVELINO,103903
MONICA GOMES DA SILVA PITANGA,MONICA GOMES DA SILVA PITANGA,1442
ALONSO OLIVEIRA DE SOUZA,ALONSO OLIVEIRA DE SOUZA,6460
MAYSA COSTA DA SILVA,MAYSA COSTA DA SILVA,584
ALFREDO PEREIRA DO NASCIMENTO,ALFREDO PEREIRA DO NASCIMENTO,120060
JOSE ADALBERTO DA SILVA,JOSE ADALBERTO DA SILVA,0
WALFRAN DE SOUZA TORRES,WALFRAN DE SOUZA TORRES,5246
VILMA FLORENÇO QUEIROZ,VILMA FLORENÇO QUEIROZ,5337
ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO,250916
ATILA SIDNEY LINS DE ALBUQUERQUE,ATILA SIDNEY LINS DE ALBUQUERQUE,89452
CARLOS ALBERTO CAVALCANTE DE SOUZA,CARLOS ALBERTO CAVALCANTE DE SOUZA,53019
GUARACY DE JESUS DIAS REBELO,GUARACY DE JESUS DIAS REBELO,2426
SILAS CAMARA,SILAS CAMARA,166281
CARLOS RENÊ DE SOUZA FERNANDES,CARLOS RENÊ DE SOUZA FERNANDES,49275
STANLEY PINHEIRO BRAGA,STANLEY PINHEIRO BRAGA,5157
DEUSA RAMIRO LOPES,DEUSA RAMIRO LOPES,170
ROBERTO AUGUSTO RODRIGUES CAMPAINHA,ROBERTO AUGUSTO RODRIGUES CAMPAINHA,408
REGINA CÉLIA SICSU DOS SANTOS,REGINA CÉLIA SICSU DOS SANTOS,196
AUXILIADORA DE SOUZA SANTOS,AUXILIADORA DE SOUZA SANTOS,672
SHIRNEILA PALHETA FREITAS,SHIRNEILA PALHETA FREITAS,577
ALEXANDRE SIMÕES DE SOUZA,ALEXANDRE SIMÕES DE SOUZA,1447
ADAMOR SANTANA LIBERAL DE JESUS,ADAMOR SANTANA LIBERAL DE JESUS,479
JOSÉ ROBERTO DOS SANTOS,JOSÉ ROBERTO DOS SANTOS,651
FERNANDO JOSÉ RODRIGUES LOBATO,FERNANDO JOSÉ RODRIGUES LOBATO,397
OSMARINO ANTONIO BUENO DE CASTRO,OSMARINO ANTONIO BUENO DE CASTRO,247
BENILDES DOS SANTOS SILVA,BENILDES DOS SANTOS SILVA,162
ANDERSON JOSE RAZORI,ANDERSON JOSE RAZORI,2932
GILBERTO HILARIO DA SILVA,GILBERTO HILARIO DA SILVA,299
LAURI DA SILVA GUERREIRO,LAURI DA SILVA GUERREIRO,760
DARCY GRAÇA VALERIO DE SOUSA,DARCY GRAÇA VALERIO DE SOUSA,390
RICARDO ZIMA AGUIAR,RICARDO ZIMA AGUIAR,655
RODRIGO FROTA,RODRIGO FROTA,1620
DARLENE MAQUINÉ DOS SANTOS,DARLENE MAQUINÉ DOS SANTOS,724
VALDIRENE PICANÇO DE CASTRO,VALDIRENE PICANÇO DE CASTRO,364
CLEISIANE OLIVEIRA DA SILVA,CLEISIANE OLIVEIRA DA SILVA,206
LUIZ ANTONIO CAMPOS CORREA,LUIZ ANTONIO CAMPOS CORREA,5584
ALCINEIDE PEREIRA DA SILVA,ALCINEIDE PEREIRA DA SILVA,109
GABRIELA PROTÁSIO MOTA,GABRIELA PROTÁSIO MOTA,7262
GILDASIO DE CERQUEIRA DALTRO FILHO,GILDASIO DE CERQUEIRA DALTRO FILHO,304
JAMERSON LUIZ GONÇALVES DOS SANTOS,JAMERSON LUIZ GONÇALVES DOS SANTOS,5713
VALDECI BARBOSA BRITO,VALDECI BARBOSA BRITO,26
JOSÉ RUDIVAL SANTOS DE OLIVEIRA,JOSÉ RUDIVAL SANTOS DE OLIVEIRA,844
GILDASIO CARVALHO DA CUNHA,GILDASIO CARVALHO DA CUNHA,2288
CHRISTIANO PABLO ALVES NEIVA,CHRISTIANO PABLO ALVES NEIVA,595
